"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"84","06111","Ventura County, California",279168,2760,270251,2986,239079,3773,7743,1134,262508,2903,31172,2753,8917,1580
"85","06113","Yolo County, California",76844,1623,74069,1746,66024,2308,1301,441,72768,1811,8045,1493,2775,896
"86","06115","Yuba County, California",27942,908,26506,1159,21747,1559,760,477,25746,1204,4759,1201,1436,645
"87","08001","Adams County, Colorado",183023,1658,176422,2199,153816,3515,4583,1134,171839,2504,22606,2975,6601,1521
"88","08005","Arapahoe County, Colorado",250041,2470,243741,2731,221394,3747,5727,1051,238014,2769,22347,2865,6300,1045
"89","08013","Boulder County, Colorado",135607,1819,133922,1907,126540,2156,3527,770,130395,2102,7382,1310,1685,534
"90","08014","Broomfield County, Colorado",30161,866,29709,847,28023,1027,912,376,28797,929,1686,660,452,259
"91","08031","Denver County, Colorado",326634,3286,317661,3562,283209,4870,6883,1477,310778,3862,34452,3478,8973,1744
"92","08035","Douglas County, Colorado",136238,1302,134625,1391,129307,1722,1305,543,133320,1518,5318,1226,1613,730
"93","08041","El Paso County, Colorado",282904,2926,277438,3149,253102,4003,5341,949,272097,3171,24336,2668,5466,1114
"94","08059","Jefferson County, Colorado",239823,1845,232964,2051,216313,2669,6217,1128,226747,2278,16651,2084,6859,1307
"95","08069","Larimer County, Colorado",152123,2052,148481,2504,138317,2816,4214,1032,144267,2649,10164,1765,3642,1175
"96","08077","Mesa County, Colorado",63796,1732,61565,1802,52813,2477,2459,727,59106,1858,8752,1703,2231,905
"97","08101","Pueblo County, Colorado",69078,1103,65117,1414,53035,2120,3407,1073,61710,1683,12082,1900,3961,827
"98","08123","Weld County, Colorado",119502,1547,115769,1858,100286,2517,2889,934,112880,2195,15483,1916,3733,1064
"99","09001","Fairfield County, Connecticut",357271,2972,341664,3258,305803,4444,10701,1553,330963,3298,35861,3075,15607,2145
"100","09003","Hartford County, Connecticut",360140,3030,342692,3793,297680,4909,11033,1493,331659,4029,45012,3155,17448,1819
"101","09005","Litchfield County, Connecticut",77106,1655,72980,1828,65681,2021,3274,809,69706,1944,7299,1664,4126,895
"102","09007","Middlesex County, Connecticut",69789,1705,67165,1859,59727,2388,1866,741,65299,1872,7438,1432,2624,715
"103","09009","New Haven County, Connecticut",349089,3295,330960,3987,278177,4965,12141,1819,318819,4300,52783,4288,18129,2220
"104","09011","New London County, Connecticut",110950,1778,105576,2045,93019,2627,4751,968,100825,2120,12557,1770,5374,1303
"105","09013","Tolland County, Connecticut",58244,1449,56673,1548,51445,1934,1881,573,54792,1645,5228,1193,1571,739
"106","09015","Windham County, Connecticut",45724,1492,43073,1655,35286,2122,1972,837,41101,1638,7787,1608,2651,710
"107","10001","Kent County, Delaware",70167,1212,67115,1294,57375,1890,2571,841,64544,1516,9740,1810,3052,902
"108","10003","New Castle County, Delaware",220758,2202,212085,2522,184866,4267,6559,1226,205526,2770,27219,3415,8673,1435
"109","10005","Sussex County, Delaware",104731,2939,100339,3080,86998,2978,3318,947,97021,3364,13341,1857,4392,880
"110","11001","District of Columbia, District of Columbia",319565,3541,308014,4137,267764,5337,6110,1364,301904,4424,40250,3686,11551,2141
"111","12001","Alachua County, Florida",108189,2517,104982,2842,92590,3244,2888,899,102094,3034,12392,2124,3207,1057
"112","12005","Bay County, Florida",79532,2918,76769,2936,64160,2890,2785,865,73984,2929,12609,2248,2763,862
"113","12009","Brevard County, Florida",254314,3783,245271,4172,213531,4519,9610,1507,235661,4052,31740,3177,9043,1610
"114","12011","Broward County, Florida",747715,6267,721395,6954,636633,7718,16557,2341,704838,7240,84762,4776,26320,3213
"115","12015","Charlotte County, Florida",88988,3205,86087,3316,72060,3483,3608,969,82479,3358,14027,2501,2901,1038
