"","GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"9540","19163012702","Census Tract 127.02, Scott County, Iowa","Other Asian and Pacific Island languages",8,12,2940,329
"9541","19163012702","Census Tract 127.02, Scott County, Iowa","Arabic",0,10,2940,329
"9542","19163012702","Census Tract 127.02, Scott County, Iowa","Other and unspecified languages",0,10,2940,329
"9543","19163012801","Census Tract 128.01, Scott County, Iowa","Speak only English",4248,449,4421,475
"9544","19163012801","Census Tract 128.01, Scott County, Iowa","Spanish",57,75,4421,475
"9545","19163012801","Census Tract 128.01, Scott County, Iowa","French, Haitian, or Cajun",0,10,4421,475
"9546","19163012801","Census Tract 128.01, Scott County, Iowa","German or other West Germanic languages",0,10,4421,475
"9547","19163012801","Census Tract 128.01, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,4421,475
"9548","19163012801","Census Tract 128.01, Scott County, Iowa","Other Indo-European languages",0,10,4421,475
"9549","19163012801","Census Tract 128.01, Scott County, Iowa","Korean",62,91,4421,475
"9550","19163012801","Census Tract 128.01, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,4421,475
"9551","19163012801","Census Tract 128.01, Scott County, Iowa","Vietnamese",0,10,4421,475
"9552","19163012801","Census Tract 128.01, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,4421,475
"9553","19163012801","Census Tract 128.01, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,4421,475
"9554","19163012801","Census Tract 128.01, Scott County, Iowa","Arabic",15,25,4421,475
"9555","19163012801","Census Tract 128.01, Scott County, Iowa","Other and unspecified languages",39,62,4421,475
"9556","19163012802","Census Tract 128.02, Scott County, Iowa","Speak only English",4197,807,4790,824
"9557","19163012802","Census Tract 128.02, Scott County, Iowa","Spanish",336,312,4790,824
"9558","19163012802","Census Tract 128.02, Scott County, Iowa","French, Haitian, or Cajun",0,15,4790,824
"9559","19163012802","Census Tract 128.02, Scott County, Iowa","German or other West Germanic languages",24,39,4790,824
"9560","19163012802","Census Tract 128.02, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,15,4790,824
"9561","19163012802","Census Tract 128.02, Scott County, Iowa","Other Indo-European languages",33,51,4790,824
"9562","19163012802","Census Tract 128.02, Scott County, Iowa","Korean",0,15,4790,824
"9563","19163012802","Census Tract 128.02, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,15,4790,824
"9564","19163012802","Census Tract 128.02, Scott County, Iowa","Vietnamese",0,15,4790,824
"9565","19163012802","Census Tract 128.02, Scott County, Iowa","Tagalog (incl. Filipino)",200,261,4790,824
"9566","19163012802","Census Tract 128.02, Scott County, Iowa","Other Asian and Pacific Island languages",0,15,4790,824
"9567","19163012802","Census Tract 128.02, Scott County, Iowa","Arabic",0,15,4790,824
"9568","19163012802","Census Tract 128.02, Scott County, Iowa","Other and unspecified languages",0,15,4790,824
"9569","19163012901","Census Tract 129.01, Scott County, Iowa","Speak only English",5137,576,5580,599
"9570","19163012901","Census Tract 129.01, Scott County, Iowa","Spanish",54,64,5580,599
"9571","19163012901","Census Tract 129.01, Scott County, Iowa","French, Haitian, or Cajun",256,317,5580,599
"9572","19163012901","Census Tract 129.01, Scott County, Iowa","German or other West Germanic languages",33,41,5580,599
"9573","19163012901","Census Tract 129.01, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,15,5580,599
"9574","19163012901","Census Tract 129.01, Scott County, Iowa","Other Indo-European languages",32,50,5580,599
"9575","19163012901","Census Tract 129.01, Scott County, Iowa","Korean",0,15,5580,599
"9576","19163012901","Census Tract 129.01, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",13,29,5580,599
"9577","19163012901","Census Tract 129.01, Scott County, Iowa","Vietnamese",19,34,5580,599
"9578","19163012901","Census Tract 129.01, Scott County, Iowa","Tagalog (incl. Filipino)",0,15,5580,599
"9579","19163012901","Census Tract 129.01, Scott County, Iowa","Other Asian and Pacific Island languages",36,49,5580,599
"9580","19163012901","Census Tract 129.01, Scott County, Iowa","Arabic",0,15,5580,599
"9581","19163012901","Census Tract 129.01, Scott County, Iowa","Other and unspecified languages",0,15,5580,599
"9582","19163012902","Census Tract 129.02, Scott County, Iowa","Speak only English",5126,602,5526,533
