"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"156","37135","Orange County, North Carolina",53607,1244,50548,1459,325,436,46801,1393,3422,885,3059,912
"157","37147","Pitt County, North Carolina",68505,2253,62772,2710,133,153,57530,3050,5109,1440,5733,1277
"158","37151","Randolph County, North Carolina",57766,1286,51244,1773,548,244,44870,2180,5826,1321,6522,1174
"159","37155","Robeson County, North Carolina",45351,1220,36025,1513,45,74,25699,1546,10281,1202,9326,1082
"160","37157","Rockingham County, North Carolina",36175,1341,30386,1650,263,242,26564,1691,3559,984,5789,1057
"161","37159","Rowan County, North Carolina",52057,1968,45588,2129,78,92,41117,2092,4393,1236,6469,1325
"162","37161","Rutherford County, North Carolina",26408,1666,21548,1657,0,207,18336,1599,3212,1235,4860,1204
"163","37171","Surry County, North Carolina",29415,1052,23802,1265,258,234,18548,1363,4996,960,5613,964
"164","37179","Union County, North Carolina",75366,1314,71132,1429,408,266,68132,1649,2592,839,4234,820
"165","37183","Wake County, North Carolina",400418,3673,387432,3997,823,593,372205,4184,14404,2691,12986,2049
"166","37191","Wayne County, North Carolina",47720,1488,42468,1669,0,207,39733,1759,2735,833,5252,1131
"167","37193","Wilkes County, North Carolina",28377,1562,24343,1686,165,183,21962,1963,2216,973,4034,815
"168","37195","Wilson County, North Carolina",32015,1162,27596,1474,107,169,24492,1620,2997,1036,4419,908
"169","38015","Burleigh County, North Dakota",39251,1007,35270,1401,125,148,32417,1555,2728,740,3981,913
"170","38017","Cass County, North Dakota",76123,1628,71069,1849,222,196,65531,2098,5316,1369,5054,1119
"171","38035","Grand Forks County, North Dakota",30848,729,27784,1083,0,161,23730,1267,4054,967,3064,831
"172","38101","Ward County, North Dakota",27173,1394,25232,1406,43,39,23520,1522,1669,707,1941,657
"173","39003","Allen County, Ohio",40872,993,36392,1137,96,92,33094,1328,3202,842,4480,897
"174","39007","Ashtabula County, Ohio",36704,1503,31700,1508,194,153,29260,1558,2246,573,5004,1225
"175","39009","Athens County, Ohio",22199,1460,19794,1528,0,193,15930,1548,3864,940,2405,559
"176","39013","Belmont County, Ohio",23520,1232,19725,1152,182,166,16300,1166,3243,962,3795,688
"177","39017","Butler County, Ohio",139058,2476,129760,2798,140,144,122436,3101,7184,1208,9298,1231
"178","39023","Clark County, Ohio",54026,1322,48553,1498,63,75,45423,1545,3067,728,5473,832
"179","39025","Clermont County, Ohio",78198,1528,71852,1856,256,245,66276,2318,5320,1375,6346,1301
"180","39029","Columbiana County, Ohio",39140,1452,33072,1626,315,220,29761,1761,2996,961,6068,1058
"181","39035","Cuyahoga County, Ohio",544208,4413,477676,5519,1132,472,432115,5858,44429,3441,66532,3045
"182","39041","Delaware County, Ohio",70224,916,68266,1137,63,105,65955,1343,2248,682,1958,633
"183","39043","Erie County, Ohio",31893,1386,28898,1466,128,153,25462,1561,3308,982,2995,803
"184","39045","Fairfield County, Ohio",55674,1319,50720,1671,264,173,46141,1738,4315,1202,4954,1076
"185","39049","Franklin County, Ohio",508811,4386,475884,5439,1125,499,447267,5381,27492,2866,32927,2895
"186","39055","Geauga County, Ohio",35216,801,31378,1035,257,317,29529,1156,1592,564,3838,671
"187","39057","Greene County, Ohio",64517,1613,59293,1908,38,64,56534,1977,2721,777,5224,1199
"188","39061","Hamilton County, Ohio",342793,3056,311473,3646,1348,466,287304,3946,22821,2616,31320,2787
"189","39063","Hancock County, Ohio",31844,1080,29223,1127,221,208,27621,1161,1381,549,2621,741
"190","39081","Jefferson County, Ohio",26996,1212,23041,1366,153,170,21366,1413,1522,496,3955,706
"191","39085","Lake County, Ohio",94118,1894,85403,2139,91,110,81840,2264,3472,793,8715,1585
"192","39089","Licking County, Ohio",63391,1661,58258,1920,0,193,54226,2264,4032,1197,5133,1057
"193","39093","Lorain County, Ohio",120394,1862,107596,2346,543,278,95553,2718,11500,1673,12798,1545
"194","39095","Lucas County, Ohio",178672,2599,160636,2670,711,360,146763,2896,13162,1473,18036,1735
"195","39099","Mahoning County, Ohio",98084,1931,84756,2196,238,222,78914,2224,5604,1036,13328,1610
"196","39101","Marion County, Ohio",24971,873,22008,1083,100,139,19991,1246,1917,706,2963,699
"197","39103","Medina County, Ohio",68650,1276,64936,1503,277,180,61367,1806,3292,919,3714,810
"198","39109","Miami County, Ohio",39819,1318,36333,1552,165,183,34407,1650,1761,672,3486,892
"199","39113","Montgomery County, Ohio",225106,2931,202456,3437,984,388,188584,3612,12888,1871,22650,2047
"200","39119","Muskingum County, Ohio",33074,1364,27921,1436,171,220,25043,1534,2707,862,5153,1037
"201","39133","Portage County, Ohio",62293,1401,56199,1836,71,84,50743,1946,5385,1256,6094,1264
"202","39139","Richland County, Ohio",48998,1322,42393,1675,127,158,36557,1662,5709,1184,6605,1201
"203","39141","Ross County, Ohio",27914,1433,24946,1386,0,193,22233,1352,2713,930,2968,825
"204","39145","Scioto County, Ohio",30424,1356,24518,1621,49,88,22286,1649,2183,732,5906,1161
"205","27013","Blue Earth County, Minnesota",26098,889,24252,974,30,39,22330,950,1892,596,1846,425
"206","27019","Carver County, Minnesota",35721,1048,34450,1116,264,179,33054,1118,1132,435,1271,377
"207","27037","Dakota County, Minnesota",160590,1375,152373,1925,258,181,144321,2303,7794,1397,8217,1215
