"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"132","12085","Martin County, Florida",69719,2201,64574,2374,0,242,53613,2677,3713,1230,738,446,2330,913,2815,909
"133","12086","Miami-Dade County, Florida",963477,6902,843874,8709,874,489,717266,8849,70712,4638,6896,1568,32129,4165,87474,6111
"134","12087","Monroe County, Florida",36078,1787,31715,1735,33,58,26977,2004,1561,561,125,132,2046,682,2317,834
"135","12089","Nassau County, Florida",40276,1134,38319,1367,52,90,28719,2457,5094,1499,57,98,741,514,1216,565
"136","12091","Okaloosa County, Florida",84497,2515,76288,2824,125,146,67450,2911,4640,1229,360,370,3057,1245,5152,1324
"137","12095","Orange County, Florida",512496,6481,476467,8326,44,74,404136,9038,25280,4075,7699,2087,10945,2191,25084,4185
"138","12097","Osceola County, Florida",133330,4151,122954,4352,0,242,103849,4514,7354,1546,2767,1281,2450,1000,7926,1763
"139","12099","Palm Beach County, Florida",595447,7364,536630,7542,536,315,457260,8058,33853,2824,3645,907,20058,2822,38759,3515
"140","12101","Pasco County, Florida",230060,3739,208179,3979,281,238,182061,4438,11590,1888,1441,636,6698,1330,15183,2128
"141","12103","Pinellas County, Florida",419798,5705,377651,5943,541,375,328190,6149,15405,1991,3056,1015,13448,1951,28699,3328
"142","12105","Polk County, Florida",276469,4275,244890,4688,658,543,209810,5317,10443,1616,1867,727,9020,1836,22559,2710
"143","12107","Putnam County, Florida",29765,1450,24696,1614,0,242,16856,1714,2809,863,222,175,500,295,4569,1202
"144","12109","St. Johns County, Florida",109147,2862,101758,3369,210,215,88568,4005,8397,1731,932,680,1711,899,5678,1606
"145","12111","St. Lucie County, Florida",131235,4867,123124,5127,294,377,109669,5060,5060,1345,774,511,1791,621,6320,1362
"146","12113","Santa Rosa County, Florida",71722,2129,68330,2265,112,131,58551,2467,7054,1405,1002,622,640,461,2752,818
"147","12115","Sarasota County, Florida",204018,4799,187820,4818,425,324,164974,4875,8929,1905,1912,929,5850,1264,10348,1910
"148","12117","Seminole County, Florida",188239,1849,179113,2344,0,242,162358,3100,8050,1718,626,414,2726,906,6400,1333
"149","12119","Sumter County, Florida",68792,2697,62278,2722,612,632,51479,2949,4439,1264,249,215,1381,883,5133,1331
"150","12127","Volusia County, Florida",243344,3599,218020,4478,329,212,166355,5412,17853,2400,13624,2438,5455,1252,19869,2829
"151","12131","Walton County, Florida",33941,3149,30699,2713,0,242,25359,2844,2724,978,242,262,1227,923,2015,969
"152","13013","Barrow County, Georgia",30194,457,28475,788,0,247,25482,1331,3422,1102,59,75,408,263,1311,540
"153","13015","Bartow County, Georgia",38903,1482,33257,1750,97,163,27192,1958,3004,1164,234,221,890,625,4756,1376
"154","13021","Bibb County, Georgia",57677,2209,49223,2553,0,247,41912,2336,3899,1153,141,152,1756,774,6698,1354
"155","13031","Bulloch County, Georgia",29318,2563,26238,2664,0,247,22013,2376,1684,816,1356,889,812,524,2268,741
"156","13045","Carroll County, Georgia",43859,1293,40459,1701,0,247,32233,2291,3251,1071,28,47,678,396,2722,858
"157","13047","Catoosa County, Georgia",26864,825,23658,1201,0,247,19629,1484,854,585,29,74,806,532,2400,1017
"158","13051","Chatham County, Georgia",121028,2329,112982,2664,27,46,98721,3066,5244,1351,1260,802,1851,748,6195,1474
"159","13057","Cherokee County, Georgia",100023,1578,95474,2189,187,310,86102,2878,7506,1613,229,225,867,574,3682,1260
"160","13059","Clarke County, Georgia",55332,1776,50316,2170,53,97,44240,2265,3083,1160,480,353,1700,849,3316,964
"161","13063","Clayton County, Georgia",106249,2018,98306,2443,0,247,80682,3683,8599,1941,1273,836,2896,1308,5047,1293
"162","13067","Cobb County, Georgia",292841,2799,281640,2978,71,117,256141,4393,14047,2157,1051,463,3039,1126,8162,1487
"163","13073","Columbia County, Georgia",51178,2129,46063,2403,110,137,39951,2586,3157,1462,97,159,1494,996,3621,1106
"164","13077","Coweta County, Georgia",55729,1197,52166,1840,0,247,48574,1829,2494,913,176,225,444,370,3119,1389
"165","13089","DeKalb County, Georgia",273981,4722,256031,5270,239,227,222956,5814,20077,2716,6945,1916,4054,1210,13896,2408
"166","13095","Dougherty County, Georgia",34835,1359,28445,1642,0,247,20801,1507,2397,617,232,218,1051,646,5339,1141
"167","13097","Douglas County, Georgia",51441,1169,48255,1594,302,553,41529,2277,4542,1310,141,232,793,512,2393,948
"168","13103","Effingham County, Georgia",23373,837,20315,1431,62,108,17548,1690,1705,919,49,89,337,340,2721,1265
"169","13113","Fayette County, Georgia",43689,1072,42117,1417,178,267,37913,1925,2477,915,372,234,188,193,1384,818
"170","13115","Floyd County, Georgia",35417,1313,29986,1685,0,247,23819,1679,2941,898,362,251,1548,823,3883,918
"171","13117","Forsyth County, Georgia",86475,1302,84730,1373,61,101,79211,1919,5714,1060,745,568,741,395,1004,447
"172","13121","Fulton County, Georgia",467735,4859,436991,6028,151,180,392588,7244,22775,3430,2359,1155,10646,2492,20098,3199
"173","13127","Glynn County, Georgia",34137,1841,30409,2611,0,247,26368,2412,1268,623,115,149,1556,1107,2172,858
"174","13135","Gwinnett County, Georgia",323014,2652,301873,3884,0,247,270797,4131,24374,3194,3190,1174,4279,1437,16862,2654
"175","13139","Hall County, Georgia",72454,1662,66142,2081,57,98,54932,2339,6188,1271,55,96,1139,808,5173,1415
"176","13151","Henry County, Georgia",84978,1493,80114,2199,453,396,68399,3158,6743,1847,202,273,884,600,3980,1416
"177","13153","Houston County, Georgia",60815,1799,55609,2050,0,247,47235,2782,5001,1497,710,604,689,502,4517,1351
"178","13157","Jackson County, Georgia",25272,1409,23782,1513,0,247,20207,1612,2665,1056,39,65,347,260,1143,557
"179","13179","Liberty County, Georgia",23883,1164,21158,1546,0,247,17999,1600,1479,685,241,174,368,339,2357,808
"180","13185","Lowndes County, Georgia",45139,1469,38290,1928,0,247,30966,2042,3019,1069,181,205,1991,854,4858,1249
"181","13215","Muscogee County, Georgia",82663,2071,72204,2760,249,203,58323,3673,6674,1569,2891,1223,3076,1022,7383,1560
"182","13217","Newton County, Georgia",41515,592,38307,1364,0,247,32917,2165,3180,1075,0,247,821,777,2387,947
"183","13223","Paulding County, Georgia",58025,1692,55761,2076,0,247,47288,2454,4481,1444,37,63,608,596,1656,1085
"184","13245","Richmond County, Georgia",74476,2795,62942,2931,0,247,52333,3156,3515,1222,979,667,4371,1438,7163,1581
"185","13247","Rockdale County, Georgia",33141,1169,29068,1642,77,140,23029,1936,4835,1508,376,476,810,541,3263,1201
"186","13255","Spalding County, Georgia",25696,981,21380,1384,0,247,16708,1551,2512,1040,141,161,453,419,3863,1261
"187","13285","Troup County, Georgia",26768,982,22902,1283,0,247,18630,1791,2851,1115,196,223,722,720,3144,1144
"188","13295","Walker County, Georgia",26315,1092,23843,1435,116,210,18085,1621,1504,724,51,91,332,302,2140,1007
"189","13297","Walton County, Georgia",35628,628,31297,1122,0,247,27423,1337,2336,787,105,170,886,592,3445,867
"190","13313","Whitfield County, Georgia",35746,1192,31338,1491,44,76,19867,1745,1932,824,164,155,475,320,3933,1045
"191","15001","Hawaii County, Hawaii",72194,2449,64094,2599,602,538,52854,3145,3225,1019,1046,945,2531,1135,5569,1246
"192","15003","Honolulu County, Hawaii",338093,3369,313991,4312,815,646,274091,4766,17308,1972,2405,819,7192,1661,16910,2286
"193","15007","Kauai County, Hawaii",23464,1153,22244,1200,0,200,18974,1338,429,378,128,151,100,113,1120,483
"194","15009","Maui County, Hawaii",56319,1832,48949,2275,236,346,42124,2149,2627,890,314,302,2168,899,5202,1146
"195","16001","Ada County, Idaho",196255,2415,185356,3119,899,753,164716,4317,15171,2556,2162,1548,3370,1089,7529,1655
"196","16005","Bannock County, Idaho",33557,890,28945,1332,0,214,23732,1281,3595,830,319,291,1689,815,2923,833
"197","16019","Bonneville County, Idaho",42905,1169,39750,1483,0,214,32883,1670,3594,996,318,228,1172,555,1983,681
"198","16027","Canyon County, Idaho",82667,1276,75591,1853,271,438,59579,2644,9333,1615,571,435,1938,993,5138,1317
"199","16055","Kootenai County, Idaho",67771,2325,60376,2955,85,93,49150,2759,4526,1247,703,397,2519,1365,4876,1359
"200","16083","Twin Falls County, Idaho",34311,945,30201,1366,108,195,22341,1765,2971,725,412,273,809,546,3301,1025
"201","17019","Champaign County, Illinois",84248,2037,76709,2359,87,142,64241,2487,5146,1191,598,387,3965,923,3574,982
"202","17031","Cook County, Illinois",2072143,8684,1857655,11505,2540,739,1578458,12436,122754,6431,22390,2748,61898,4507,152590,7764
"203","17037","DeKalb County, Illinois",38916,1154,36159,1452,156,170,30843,1959,2596,745,1068,707,824,564,1933,736
"204","17043","DuPage County, Illinois",350639,2421,331548,3365,638,317,293646,4242,19948,2491,1802,680,5667,1246,13424,1925
"205","17089","Kane County, Illinois",183427,1916,172003,2733,408,349,150078,3257,14237,2036,1442,830,3179,1070,8245,1767
"206","17091","Kankakee County, Illinois",41020,1343,35952,1713,48,84,28059,1675,3847,918,601,390,1058,555,4010,1068
"207","17093","Kendall County, Illinois",44208,1313,42057,1872,11,18,36319,2652,5343,1998,239,327,161,223,1990,1450
"208","17097","Lake County, Illinois",254744,2462,239072,2835,294,195,210388,3749,14370,2066,2639,945,4415,975,11257,1686
"209","17099","LaSalle County, Illinois",44972,1348,38277,1647,86,76,29775,1584,5464,938,313,237,1078,529,5617,1080
"210","17111","McHenry County, Illinois",116768,1172,111331,1451,175,164,97870,2118,7652,1620,617,460,1843,600,3594,999
"211","17113","McLean County, Illinois",69263,1481,61134,2027,28,34,53493,2359,3259,928,557,354,3663,1272,4466,1211
"212","17115","Macon County, Illinois",43914,1181,36609,1604,0,201,26595,1684,2613,757,651,491,1098,520,6207,1277
"213","17119","Madison County, Illinois",109818,1839,99087,2389,185,228,82998,2841,6374,1160,1129,515,2290,906,8441,1568
"214","17143","Peoria County, Illinois",79307,1430,72644,1976,211,199,59705,2448,5218,1286,1488,918,1913,732,4750,1030
"215","17161","Rock Island County, Illinois",60187,1464,53373,1786,115,122,42290,1859,3145,785,694,387,2307,830,4507,941
"216","17163","St. Clair County, Illinois",98926,2449,89896,2583,131,154,72028,2935,8152,1393,917,448,1549,831,7481,1193
"217","17167","Sangamon County, Illinois",84414,1678,74185,2013,298,264,55630,2485,5482,929,628,371,2999,1153,7230,1216
